Name,Face,Category,Roundness,AspectRatio,HoleNess
Daikon,Front,SquareLike,0,0.5,0
Daikon,Back,SquareLike,0,0.5,0
Daikon,Left,SquareLike,0,0.5,0
Daikon,Right,SquareLike,0,0.5,0
Daikon,Top,RoundLike,1,1,0
Daikon,Bottom,RoundLike,1,1,0
Konnyaku,Front,SquareLike,0,0.5,0
Konnyaku,Back,SquareLike,0,0.5,0
Konnyaku,Left,SquareLike,0,0.5,0
Konnyaku,Right,SquareLike,0,0.5,0
Konnyaku,Top,TriangleLike,0,0,0
Konnyaku,Bottom,TriangleLike,0,0,0
Egg,Front,RoundLike,1,0.5,0
Egg,Back,RoundLike,1,0.5,0
Egg,Left,RoundLike,1,0.5,0
Egg,Right,RoundLike,1,0.5,0
Egg,Top,RoundLike,1,1,0
Egg,Bottom,RoundLike,1,1,0
Tsukune,Front,RoundLike,1,1,0
Tsukune,Back,RoundLike,1,1,0
Tsukune,Left,RoundLike,1,1,0
Tsukune,Right,RoundLike,1,1,0
Tsukune,Top,RoundLike,1,1,0
Tsukune,Bottom,RoundLike,1,1,0
Chikuwa,Front,SquareLike,0,0.5,0
Chikuwa,Back,SquareLike,0,0.5,0
Chikuwa,Left,RoundLike,1,1,1
Chikuwa,Right,RoundLike,1,1,1
Chikuwa,Top,SquareLike,0,0.5,0
Chikuwa,Bottom,SquareLike,0,0.5,0
