UIName,Type,Category,Roundness,AsepectRatio,HoleNess,Ingredient
UI_Order_CircleLike,ShapeOnly,RoundLike,1,1,0,None
UI_Order_SquareLike,ShapeOnly,SquareLike,0,1,0,None
UI_Order_TriangleLike,ShapeOnly,TriangleLike,0,0,0,None
UI_Order_DonutLike,ShapeOnly,DonutLike,1,1,1,None
UI_Order_LongRectLike,ShapeOnly,SquareLike,0,0.5,0,None
UI_Order_RibbonLike,ShapeOnly,RibbonLike,0,0,0,None
UI_Order_EllipseLike,ShapeOnly,RoundLike,1,0.5,0,None
UI_Order_Daikon,SpecificIngredient,None,0,0,0,Daikon
UI_Order_Egg,SpecificIngredient,None,0,0,0,Egg
UI_Order_Konnyaku,SpecificIngredient,None,0,0,0,Konnyaku
UI_Order_Chikuwa,SpecificIngredient,None,0,0,0,Chikuwa
UI_Order_Tsukune,SpecificIngredient,None,0,0,0,Tsukune
UI_Order_Hanpen,SpecificIngredient,None,0,0,0,Hanpen
UI_Order_Goboten,SpecificIngredient,None,0,0,0,Goboten
UI_Order_Cake,SpecificIngredient,None,0,0,0,Cake
UI_Order_Donut,SpecificIngredient,None,0,0,0,Donut
UI_Order_Shirataki,SpecificIngredient,None,0,0,0,Shirataki
UI_Order_Kobumusubi,SpecificIngredient,None,0,0,0,Kobumusubi
